Fecha,ultimo,Apertura,Máximo,Mínimo,Vol.,% var.,,,,
1/2/19,1332.80,"1.325,93","1.334,77","1.318,28",-,"0,52%",,,,
1/3/19,1348.53,"1.332,80","1.350,88","1.325,79",-,"1,18%",,,,
1/4/19,1356.75,"1.348,53","1.360,45","1.341,96",-,"0,61%",,,,
1/8/19,1368.24,"1.356,75","1.368,24","1.355,74",-,"0,85%",,,,
1/9/19,1377.61,"1.368,24","1.381,94","1.363,97",-,"0,68%",,,,
1/10/19,1384.07,"1.377,61","1.384,71","1.368,44",-,"0,47%",,,,
1/11/19,1388.38,"1.384,07","1.388,38","1.377,60",-,"0,31%",,,,
1/14/19,1393.20,"1.388,38","1.393,31","1.381,77",-,"0,35%",,,,
1/15/19,1393.09,"1.393,20","1.397,33","1.385,00",-,"-0,01%",,,,
1/16/19,1391.34,"1.393,09","1.393,50","1.389,06",-,"-0,13%",,,,
1/17/19,1391.42,"1.391,34","1.394,30","1.387,48",-,"0,01%",,,,
1/18/19,1392.95,"1.391,42","1.393,83","1.389,63",-,"0,11%",,,,
1/21/19,1398.94,"1.392,95","1.399,72","1.387,32",-,"0,43%",,,,
1/22/19,1403.94,"1.398,94","1.403,94","1.389,72",-,"0,36%",,,,
1/23/19,1406.52,"1.403,94","1.406,52","1.397,41",-,"0,18%",,,,
1/24/19,1416.76,"1.406,52","1.420,33","1.405,21",-,"0,73%",,,,
1/25/19,1425.47,"1.416,76","1.427,24","1.413,80",-,"0,61%",,,,
1/28/19,1430.18,"1.425,47","1.430,18","1.417,21",-,"0,33%",,,,
1/29/19,1437.45,"1.430,18","1.437,81","1.430,18",-,"0,51%",,,,
1/30/19,1449.65,"1.437,45","1.449,68","1.437,45",-,"0,85%",,,,
1/31/19,1447.01,"1.449,65","1.456,50","1.445,74",-,"-0,18%",,,,
2/1/19,1462.03,"1.447,01","1.462,03","1.446,60",-,"1,04%",,,,
2/4/19,1474.94,"1.462,03","1.474,94","1.458,02",-,"0,88%",,,,
2/5/19,1493.39,"1.474,94","1.493,61","1.472,00",-,"1,25%",,,,
2/6/19,1488.90,"1.493,39","1.494,76","1.479,01",-,"-0,30%",,,,
2/7/19,1472.11,"1.488,90","1.488,90","1.468,92",-,"-1,13%",,,,
2/8/19,1468.77,"1.472,11","1.472,86","1.464,52",-,"-0,23%",,,,
2/11/19,1468.42,"1.468,77","1.470,48","1.464,91",-,"-0,02%",,,,
2/12/19,1473.73,"1.468,42","1.480,96","1.467,42",-,"0,36%",,,,
2/13/19,1472.57,"1.473,73","1.478,28","1.468,37",-,"-0,08%",,,,
