Open,Close,High,Low,Volume,Date
3247.5,3247.5,3247.5,3247.5,,01/01/19
3247.5,3239,3263.25,3238.99,,01/02/19
3239,3244.5,3254.995,3232.09,,01/03/19
3244.5,3193.15,3244.5,3192.995,,01/04/19
3193.195,3195.195,3195.195,3193.195,,01/05/19
3195.195,3195.195,3195.195,3195.195,,01/06/19
3193.15,3180.56,3193.44,3177.39,,01/07/19
3180.56,3151.2,3181.5,3151.2,,01/08/19
3151.2,3136,3151.2,3123.235,,01/09/19
3136,3137.65,3145.25,3129.85,,01/10/19
3137.65,3139.15,3162.555,3137.65,,01/11/19
3137.995,3137.995,3137.995,3137.995,,01/12/19
3137.995,3137.995,3137.995,3137.995,,01/13/19
3139.15,3139.6,3149.5,3139.15,,01/14/19
3139.6,3141.28,3142.22,3131.745,,01/15/19
3141.28,3117.6,3141.28,3117.5,,01/16/19
3117.6,3132.55,3147.325,3117.6,,01/17/19
3132.55,3124,3132.55,3114.3,,01/18/19
3123.995,3123.995,3123.995,3123.995,,01/19/19
3123.995,3123.995,3123.995,3123.995,,01/20/19
3124,3126.5,3131,3124,,01/21/19
3126.5,3145.99,3145.99,3126.5,,01/22/19
3145.99,3151.9,3151.9,3142.015,,01/23/19
3151.9,3171,3171,3151.9,,01/24/19
3171,3151.99,3171,3144.105,,01/25/19
3157.365,3157.365,3157.365,3157.365,,01/26/19
3157.365,3157.365,3157.365,3157.365,,01/27/19
3151.99,3158,3172.505,3151.99,,01/28/19
3158,3154.1,3160.725,3152.5,,01/29/19
3154.1,3163.2,3166.195,3154.1,,01/30/19
3163.2,3105,3163.2,3105,,01/31/19
3105,3089.9,3114,3089.9,,02/01/19
3089.995,3089.995,3089.995,3089.995,,02/02/19
3089.995,3089.975,3089.995,3089.975,,02/03/19
3089.9,3087.6,3095.1,3086,,02/04/19
3087.6,3109.99,3109.99,3082.35,,02/05/19
3109.99,3106,3115,3103.1,,02/06/19
3106,3117.7,3117.89,3105.54,,02/07/19
3117.7,3116.05,3122.87,3107.14,,02/08/19
3115.795,3118.795,3118.795,3115.795,,02/09/19
3118.795,3118.795,3118.795,3118.795,,02/10/19
